,p1_size,p3_h_acceptor,p3_pi_acceptor,p3_polar,p3_sigma
http://dl-learner.org/res/pyrimidine001,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine002,0.26,0.1,0.367,0.9,0.9
http://dl-learner.org/res/pyrimidine003,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine004,0.74,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine005,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine006,0.42,0.9,0.367,0.633,0.1
http://dl-learner.org/res/pyrimidine007,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine008,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine009,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine010,0.26,0.9,0.367,0.9,0.633
http://dl-learner.org/res/pyrimidine011,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine012,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine013,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine014,0.26,0.1,0.367,0.367,0.1
http://dl-learner.org/res/pyrimidine015,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine016,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine017,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine018,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine019,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine020,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine021,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine022,0.9,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine023,0.26,0.1,0.9,0.633,0.367
http://dl-learner.org/res/pyrimidine024,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine025,0.26,0.1,0.633,0.9,0.633
http://dl-learner.org/res/pyrimidine026,0.26,0.1,0.367,0.367,0.1
http://dl-learner.org/res/pyrimidine027,0.9,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine028,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine029,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine030,0.26,0.1,0.9,0.633,0.367
http://dl-learner.org/res/pyrimidine031,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine032,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine033,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine034,0.74,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine035,0.26,0.1,0.367,0.367,0.1
http://dl-learner.org/res/pyrimidine036,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine037,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine038,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine039,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine040,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine041,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine042,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine043,0.9,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine044,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine045,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine046,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine047,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine048,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine049,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine050,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine051,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine052,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine053,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine054,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine055,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine056,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine057,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine058,0.26,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine059,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine060,0.1,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine061,0.26,0.1,0.367,0.367,0.1
http://dl-learner.org/res/pyrimidine062,0.58,0.9,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine063,0.9,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine064,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine065,0.74,0.1,0.1,0.1,0.1
http://dl-learner.org/res/pyrimidine066,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine067,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine068,0.74,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine069,0.42,0.5,0.367,0.633,0.367
http://dl-learner.org/res/pyrimidine070,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine071,0.58,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine072,0.42,0.1,0.367,0.367,0.1
http://dl-learner.org/res/pyrimidine073,0.42,0.1,0.1,0.367,0.1
http://dl-learner.org/res/pyrimidine074,0.42,0.5,0.367,0.633,0.367
